transaction_id,customer_id,date,plan,amount,anomaly_type,expected_amount,price_deviation,price_deviation_pct,plan_encoded,anomaly_score,anomaly_probability,is_anomaly
70735EEA,CUST7474,2026-04-11,enterprise,0.0,zero_charge,299.99,-299.99,-100.0,1,-1,-0.7388297450373174,True
7A5C7CB1,CUST7320,2026-04-11,starter,29.43,normal,29.99,-0.5599999999999987,-1.8672890963654512,3,1,-0.5081398146894843,False
499214E4,CUST4224,2026-04-11,pro,101.18,normal,99.99,1.190000000000012,1.1901190119012022,2,1,-0.4509045346006084,False
50F1B639,CUST3783,2026-04-11,basic,49.99,duplicate_charge,49.99,0.0,0.0,0,1,-0.4153712246333957,False
FBBBFF4D,CUST3309,2026-04-11,starter,29.86,normal,29.99,-0.129999999999999,-0.43347782594197737,3,1,-0.4463099194373301,False
A4C7D042,CUST1823,2026-04-11,basic,49.56,normal,49.99,-0.4299999999999997,-0.8601720344068808,0,1,-0.4406150129929638,False
F9AF8DA0,CUST6656,2026-04-11,enterprise,301.68,normal,299.99,1.6899999999999977,0.5633521117370571,1,1,-0.5067272090687059,False
75D7D080,CUST1769,2026-04-11,starter,29.96,normal,29.99,-0.029999999999997584,-0.10003334444814134,3,1,-0.4436320740958319,False
6DE393DD,CUST7040,2026-04-11,pro,100.77,normal,99.99,0.7800000000000011,0.7800780078007812,2,1,-0.4467481563653656,False
70E08AAD,CUST2906,2026-04-11,starter,30.09,normal,29.99,0.10000000000000142,0.33344448149383604,3,1,-0.44842099549061787,False
0A640613,CUST1153,2026-04-11,enterprise,295.85,normal,299.99,-4.139999999999986,-1.38004600153338,1,1,-0.5398121726554973,False
6C1D9DDE,CUST5780,2026-04-11,starter,29.4,normal,29.99,-0.5899999999999999,-1.967322440813604,3,1,-0.5336405709193424,False
98C021BF,CUST7402,2026-04-11,starter,29.61,normal,29.99,-0.379999999999999,-1.2670890296765556,3,1,-0.48226371791287176,False
CCD9A08B,CUST8693,2026-04-11,pro,101.15,normal,99.99,1.1600000000000108,1.160116011601171,2,1,-0.4509753348896393,False
F5F4311C,CUST3180,2026-04-11,starter,30.02,normal,29.99,0.030000000000001137,0.10003334444815318,3,1,-0.4499424997896843,False
08D68439,CUST2098,2026-04-11,basic,50.64,normal,49.99,0.6499999999999986,1.3002600520103993,0,1,-0.44854882684269237,False
DBA6FE03,CUST9946,2026-04-11,enterprise,305.69,normal,299.99,5.699999999999989,1.900063335444511,1,-1,-0.5798111583100322,True
2CAE9109,CUST5976,2026-04-11,basic,50.7,normal,49.99,0.7100000000000009,1.420284056811364,0,1,-0.4577826625328847,False
DBFF3D96,CUST2676,2026-04-11,enterprise,29.39,plan_price_mismatch,299.99,-270.6,-90.20300676689223,1,-1,-0.6907447780336061,True
A9D26B9F,CUST6054,2026-04-11,basic,50.87,normal,49.99,0.8799999999999955,1.7603520704140736,0,1,-0.48540580863174787,False
8C9F3A45,CUST7744,2026-04-11,basic,50.59,normal,49.99,0.6000000000000014,1.2002400480096047,0,1,-0.4532309461615695,False
